# Please cite this paper in any communication about any use of Correct@TDS : 
#  Coming soon...
#  Average over 10000 waveforms. Timestamp: unknown
#  timeaxis (ps) 	 E-field
-7.486453560525945932e+02	3.380707997954945291e-04
-7.486120230050612463e+02	3.359596916634385324e-04
-7.485786899575277857e+02	3.257148512515831715e-04
-7.485453569099943252e+02	2.943831269395607545e-04
-7.485120238624608646e+02	2.915287181750783716e-04
-7.484786908149274041e+02	3.554395611501405517e-04
-7.484453577673939435e+02	3.257275766405161462e-04
-7.484120247198605966e+02	3.246489137989501091e-04
-7.483786916723271361e+02	3.916415110855117751e-04
-7.483453586247936755e+02	3.428660066374216711e-04
-7.483120255772602150e+02	4.267827203392130907e-04
-7.482786925297267544e+02	4.311143165288080668e-04
-7.482453594821932938e+02	4.566869499030203213e-04
-7.482120264346599470e+02	4.835626233240002602e-04
-7.481786933871264864e+02	4.886085415605049588e-04
-7.481453603395930259e+02	4.870198850628040181e-04
-7.481120272920595653e+02	4.724120288876931979e-04
-7.480786942445261047e+02	4.624064574014560705e-04
-7.480453611969926442e+02	4.650658788513979268e-04
-7.480120281494592973e+02	4.466831558868366615e-04
-7.479786951019258368e+02	4.199901644187827021e-04
-7.479453620543923762e+02	4.508148697736460747e-04
-7.479120290068589156e+02	4.502948180015934449e-04
-7.478786959593254551e+02	5.074683951622823048e-04
-7.478453629117919945e+02	5.036936839548268466e-04
-7.478120298642586476e+02	5.038976469113695287e-04
-7.477786968167251871e+02	5.279485897210740375e-04
-7.477453637691917265e+02	5.452401861374605923e-04
-7.477120307216582660e+02	5.582808979806862032e-04
-7.476786976741248054e+02	5.302639856780295416e-04
-7.476453646265913449e+02	5.512918476758573274e-04
-7.476120315790579980e+02	5.797660849795011973e-04
-7.475786985315245374e+02	5.762740095237649067e-04
-7.475453654839910769e+02	5.568444283667700308e-04
-7.475120324364576163e+02	5.489790048609531148e-04
-7.474786993889241558e+02	5.069418750110202482e-04
-7.474453663413908089e+02	5.260163277576339943e-04
-7.474120332938573483e+02	5.159817602016821946e-04
-7.473787002463238878e+02	5.488067054734414819e-04
-7.473453671987904272e+02	5.668643334163083825e-04
-7.473120341512569667e+02	5.601366230360548546e-04
-7.472787011037235061e+02	5.716314321954213407e-04
-7.472453680561901592e+02	5.948317872657743650e-04
-7.472120350086566987e+02	6.035604734327897720e-04
-7.471787019611232381e+02	6.203220578669373445e-04
-7.471453689135897775e+02	6.671536693108352442e-04
-7.471120358660563170e+02	6.751475639647539851e-04
-7.470787028185228564e+02	6.534282800072429296e-04
-7.470453697709895096e+02	6.898461850695843675e-04
-7.470120367234560490e+02	6.635109586602283170e-04
-7.469787036759225884e+02	6.778824342304922606e-04
-7.469453706283891279e+02	6.932982113439921813e-04
-7.469120375808556673e+02	6.647679380684773072e-04
-7.468787045333222068e+02	6.978071126323843716e-04
-7.468453714857888599e+02	6.865317560111762864e-04
-7.468120384382553993e+02	6.781085275248341111e-04
-7.467787053907219388e+02	7.252224240979239641e-04
-7.467453723431884782e+02	7.017349317653140753e-04
-7.467120392956550177e+02	7.580290819014226175e-04
