# Please cite this paper in any communication about any use of Correct@TDS : 
#  Coming soon...
#  Average over 10000 waveforms. Timestamp: unknown
#  timeaxis (ps) 	 E-field
-7.473787002463238878e+02	8.588099891028937562e-04
-7.473453671987904272e+02	8.601718770627728465e-04
-7.473120341512569667e+02	8.988912412979571708e-04
-7.472787011037235061e+02	8.575537448558231187e-04
-7.472453680561901592e+02	8.577754235601014543e-04
-7.472120350086566987e+02	8.809492379529297243e-04
-7.471787019611232381e+02	8.559489645386822530e-04
-7.471453689135897775e+02	8.468975981654905481e-04
-7.471120358660563170e+02	7.837913620917591820e-04
-7.470787028185228564e+02	7.653165835472432307e-04
-7.470453697709895096e+02	7.430043269068974023e-04
-7.470120367234560490e+02	6.869849183162535190e-04
-7.469787036759225884e+02	6.692289131971082203e-04
-7.469453706283891279e+02	6.332775990125781617e-04
-7.469120375808556673e+02	6.098707667186947052e-04
-7.468787045333222068e+02	6.114102298060851339e-04
-7.468453714857888599e+02	6.224243113949111611e-04
-7.468120384382553993e+02	6.433894664833199242e-04
-7.467787053907219388e+02	6.631621081566578015e-04
-7.467453723431884782e+02	7.068372327953055837e-04
-7.467120392956550177e+02	7.447055092676665771e-04
-7.466787062481215571e+02	7.858297671576099401e-04
-7.466453732005882102e+02	8.251783021246998032e-04
-7.466120401530547497e+02	8.809470002093608290e-04
-7.465787071055212891e+02	8.837305343026802219e-04
-7.465453740579878286e+02	9.110804843509656779e-04
-7.465120410104543680e+02	9.380870041511049076e-04
-7.464787079629209074e+02	9.783731966737203248e-04
-7.464453749153875606e+02	9.649404499952751605e-04
-7.464120418678541000e+02	1.012890207311976844e-03
-7.463787088203206395e+02	1.012110797945283943e-03
-7.463453757727871789e+02	1.032796311445443541e-03
-7.463120427252537183e+02	1.040680628079088295e-03
-7.462787096777203715e+02	1.042073009541330747e-03
-7.462453766301869109e+02	1.053805482024077660e-03
-7.462120435826534504e+02	1.031849476734052239e-03
-7.461787105351199898e+02	1.044016795896635314e-03
-7.461453774875865292e+02	1.042458318999274275e-03
-7.461120444400530687e+02	1.020185622906603744e-03
-7.460787113925197218e+02	9.895065792034298154e-04
-7.460453783449862613e+02	9.675658831226422721e-04
-7.460120452974528007e+02	9.308137663294684767e-04
-7.459787122499193401e+02	8.815381639738553970e-04
-7.459453792023858796e+02	8.318760329574028138e-04
-7.459120461548524190e+02	8.012053637531512274e-04
-7.458787131073190722e+02	7.658056958312440144e-04
