# Please cite this paper in any communication about any use of Correct@TDS : 
#  Coming soon...
#  Average over 10000 waveforms. Timestamp: unknown
#  timeaxis (ps) 	 E-field
-7.482453594821932938e+02	4.366827334405157636e-04
-7.482120264346599470e+02	4.552248496816697540e-04
-7.481786933871264864e+02	3.923952392401695854e-04
-7.481453603395930259e+02	3.879710687211845887e-04
-7.481120272920595653e+02	4.032485616167545521e-04
-7.480786942445261047e+02	5.150737041948290828e-04
-7.480453611969926442e+02	3.816878722400899085e-04
-7.480120281494592973e+02	5.696942406694391683e-04
-7.479786951019258368e+02	4.212370206180631707e-04
-7.479453620543923762e+02	4.816583824259776467e-04
-7.479120290068589156e+02	4.671715470408152105e-04
-7.478786959593254551e+02	5.016560133673502592e-04
-7.478453629117919945e+02	4.336821986675519318e-04
-7.478120298642586476e+02	5.564869235497652260e-04
-7.477786968167251871e+02	4.242260128625644075e-04
-7.477453637691917265e+02	6.144419657482532533e-04
-7.477120307216582660e+02	4.974482301544843905e-04
-7.476786976741248054e+02	5.614713504436497039e-04
-7.476453646265913449e+02	4.804392116083235683e-04
-7.476120315790579980e+02	5.937159345204242374e-04
-7.475786985315245374e+02	6.105367748846439284e-04
-7.475453654839910769e+02	5.393656535308953993e-04
-7.475120324364576163e+02	5.759272480260972226e-04
-7.474786993889241558e+02	5.779375056202441796e-04
-7.474453663413908089e+02	6.367195298336041824e-04
-7.474120332938573483e+02	6.515261306127682504e-04
-7.473787002463238878e+02	5.850302416420806407e-04
-7.473453671987904272e+02	6.174948498496515966e-04
-7.473120341512569667e+02	5.998825647850729173e-04
-7.472787011037235061e+02	5.361846799375832211e-04
-7.472453680561901592e+02	6.645856293864359611e-04
-7.472120350086566987e+02	6.290292389281916009e-04
-7.471787019611232381e+02	6.947679664743763297e-04
-7.471453689135897775e+02	6.208833835864744580e-04
-7.471120358660563170e+02	6.720625683121676883e-04
-7.470787028185228564e+02	7.023315539378228523e-04
-7.470453697709895096e+02	6.586595584715942975e-04
-7.470120367234560490e+02	7.316520062383156985e-04
-7.469787036759225884e+02	6.483481958864780251e-04
-7.469453706283891279e+02	7.227979428908121520e-04
-7.469120375808556673e+02	6.277865319875623696e-04
-7.468787045333222068e+02	7.384777106748039149e-04
-7.468453714857888599e+02	6.759974349664573962e-04
-7.468120384382553993e+02	6.720626924576773159e-04
-7.467787053907219388e+02	7.447036280368810610e-04
-7.467453723431884782e+02	7.260764073250112636e-04
-7.467120392956550177e+02	7.290389628170681471e-04
-7.466787062481215571e+02	7.039627164397377563e-04
-7.466453732005882102e+02	7.647286227932436264e-04
-7.466120401530547497e+02	7.296654459607225616e-04
-7.465787071055212891e+02	8.336182316159342770e-04
-7.465453740579878286e+02	6.696578761311542142e-04
-7.465120410104543680e+02	8.101644035173149842e-04
-7.464787079629209074e+02	7.301647238454944460e-04
-7.464453749153875606e+02	7.888189896422599006e-04
-7.464120418678541000e+02	8.439898640933327610e-04
-7.463787088203206395e+02	7.879366455467856634e-04
-7.463453757727871789e+02	8.704529235463288970e-04
-7.463120427252537183e+02	7.394232390481886991e-04
-7.462787096777203715e+02	8.640067870132890192e-04
-7.462453766301869109e+02	7.062478857115701836e-04
-7.462120435826534504e+02	8.470442365021095934e-04
-7.461787105351199898e+02	7.510517660480888705e-04
-7.461453774875865292e+02	7.628963273984098103e-04
-7.461120444400530687e+02	7.486666503080694835e-04
-7.460787113925197218e+02	8.465334454604601933e-04
-7.460453783449862613e+02	7.675329938256404043e-04
-7.460120452974528007e+02	8.740197873028092857e-04
-7.459787122499193401e+02	7.851232056629748072e-04
-7.459453792023858796e+02	8.421282268063193157e-04
-7.459120461548524190e+02	8.906063981538595497e-04
-7.458787131073190722e+02	7.750642888394506259e-04
-7.458453800597856116e+02	8.652451967077356585e-04
-7.458120470122521510e+02	8.449401855141257332e-04
-7.457787139647186905e+02	8.862000249544518815e-04
-7.457453809171852299e+02	7.472836726575127599e-04
-7.457120478696517694e+02	8.428922315633968548e-04
-7.456787148221184225e+02	8.545664929027564421e-04
-7.456453817745849619e+02	9.369103337842549012e-04
-7.456120487270515014e+02	7.960245629165373787e-04
-7.455787156795180408e+02	9.152580505798776998e-04
-7.455453826319845803e+02	8.771239003119513447e-04
-7.455120495844511197e+02	8.097959999661673595e-04
-7.454787165369177728e+02	9.705674480252159727e-04
-7.454453834893843123e+02	7.372263925903276569e-04
-7.454120504418508517e+02	8.414578307070175959e-04
-7.453787173943173912e+02	9.362346219260937220e-04
-7.453453843467839306e+02	7.915002073131079726e-04
-7.453120512992504700e+02	9.391275132678392505e-04
-7.452787182517171232e+02	9.485838476289387396e-04
-7.452453852041836626e+02	9.373251754250581892e-04
-7.452120521566502021e+02	8.946747816439389522e-04
-7.451787191091167415e+02	9.416866021619487315e-04
-7.451453860615832809e+02	8.120755196834790772e-04
-7.451120530140499341e+02	8.817154738612945335e-04
-7.450787199665164735e+02	8.300274614574566648e-04
-7.450453869189830129e+02	9.106714361050965295e-04
-7.450120538714495524e+02	9.037006770868211917e-04
-7.449787208239160918e+02	8.933360603802190537e-04
-7.449453877763826313e+02	8.155313573567648210e-04
-7.449120547288492844e+02	9.256070698866728950e-04
-7.448787216813158238e+02	8.763749318591316020e-04
-7.448453886337823633e+02	9.592970029576512823e-04
-7.448120555862489027e+02	8.207439895885348946e-04
-7.447787225387154422e+02	9.288687690088227780e-04
-7.447453894911819816e+02	8.829578093394761578e-04
-7.447120564436486347e+02	9.033047670364105801e-04
-7.446787233961151742e+02	9.055042465013879958e-04
-7.446453903485817136e+02	9.383008992401845787e-04
-7.446120573010482531e+02	9.795186744543859722e-04
-7.445787242535147925e+02	9.042341958989968563e-04
-7.445453912059813320e+02	9.915477851070769646e-04
-7.445120581584479851e+02	8.546523164867756046e-04
-7.444787251109145245e+02	9.468464190979206411e-04
-7.444453920633810640e+02	9.708731783787553698e-04
-7.444120590158476034e+02	9.654215604924491637e-04
-7.443787259683141428e+02	9.265097605171728401e-04
-7.443453929207806823e+02	8.197986810641815598e-04
-7.443120598732473354e+02	1.007455884635773905e-03
-7.442787268257138749e+02	8.710146014921100587e-04
-7.442453937781804143e+02	9.142936149860258046e-04
-7.442120607306469537e+02	8.920884168956940471e-04
-7.441787276831134932e+02	8.883526676789711609e-04
-7.441453946355800326e+02	8.821549959903174669e-04
-7.441120615880466858e+02	9.430278073522049831e-04
-7.440787285405132252e+02	8.300323072642605549e-04
